text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,激动人心的，有趣的，最后运输着美和野兽和1930年代恐怖电影的重新想象,"Excited, interesting, and finally transporting beauty and beasts and the re -imagination of horror movies in the 1930s"
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,显然，从任何给定的白天肥皂的上坡地板上重新组装。,"Obviously, reassembled from any given daytime soap floor."
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,他们认为他们的听众不会坐下来参加社会学课程，多么有趣，因此他们跑出了穿着轻薄的衣服的传统科幻小说元素和未来派女性的传统科幻元素。,"They think that their audience will not sit down to participate in sociological courses, so they have run out of traditional science fiction elements wearing thin clothes and traditional science fiction elements of future women."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,这是对爱，记忆，历史以及艺术与商业之间的战争的视觉令人惊叹的反省。,"This is the visual vision of love, memory, history, and art and business."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,乔纳森·帕克（Jonathan Parker）的巴特比（Bartleby）本来应该是现代办公室Anomie电影的全部目的。,"Bartleby, Jonathan Parker, should have been the entire purpose of the modern office Anomie movie."
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,Campanella的语气恰到好处 - 在充满希望的中间的悲伤中间很有趣。,Campanella's tone is just right -the sadness in the middle of hope is interesting.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,在视频中，声音拒绝的视频中，一部粉丝电影在视频中表现得更好。,"In the video, in the video rejected, a fan movie performed better in the video."
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,Béart和Berling都很出色，而Huppert ...很棒。,"Both and Berling both are excellent, and huaPpert ... is great."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,比过去的极端程度少一些，它们之间的说明序列较长，而堵嘴较少来打破乏味的序列。,"There is less extreme more than in the past. The description sequence between them is longer, and the mouth blocks are less to break the tedious sequence."
the film is strictly routine .,0,negative,这部电影严格来说是常规的。,This movie is strictly conventional.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,文化和个人自我发现的抒情隐喻，以及对一个有些记忆的世界的Picaresque。,"The lyrical metaphors discovered by culture and personal self -discovery, and PicareSque who is a world of memory."
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,negative,自从罗兰·乔菲（RolandJoffé）和黛米·摩尔（Demi Moore）的《猩红色的字母》（The Scarlet Lettles）以来，最令人震惊的经典文本改编版。,"Since Roland Jofe and Demi Moore's ""The Scarlet Letter"", the most shocking classic text adaptation."
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,对于像这部特定电影一样出色的东西，观众期待一些特别的东西，但会得到-lrb- sci-fi -rrb- rehash。,"For things as well as this specific movie, the audience expect something special, but they will get -LRB-Sci-Fi-RRB-Rehash."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,这是一部令人惊叹的电影，是一部独一无二的巡回演出。,"This is an amazing movie, a unique tour."
"may be more genial than ingenious , but it gets the job done .",1,positive,可能比巧妙的更友好，但完成了工作。,"It may be more friendly than clever, but it has completed the work."
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,positive,有一个自由观察这种粗略的特技表演，快节奏和疯狂的自由。,"There is a rough performance that freely observes this rough stunt performance, fast -paced and crazy freedom."
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0,negative,如果燕尾服实际上是一件西装，它将像99美元的讨价还价特惠一样适合Chan。,"If Tyranian is actually a suit, it will be suitable for Chan like a $ 99 bargain."
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1,positive,像先生一样安静，耐心和顽强。洛佩兹本人，他以杰出的宁静和纪律来接近他艰难，无尽的工作。,"As quiet, patient and tenacious as Mr..Lopez himself, he approached his difficult and endless work with outstanding tranquility and discipline."
final verdict : you 've seen it all before .,0,negative,最终判决：您以前看过这一切。,Final judgment: You have seen all of this before.
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",0,negative,Blue Crush遵循该公式，但引发了太多的冲突，无法使故事引人注目。,"Blue Crush follows the formula, but it has caused too much conflict and cannot be noticeable."
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,0,negative,您...没有寻求和罢工正确的语气的良好意图。,You ... there is no good intention to seek and strike the right tone.
"a slick , engrossing melodrama .",1,positive,一个光滑，令人着迷的情节剧。,"A smooth, fascinating plot drama."
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,negative,一部可怜的电影，将第二次世界大战减少到一个男人寻找旧火焰的追求。,A poor movie reduced the pursuit of Second World War to a man looking for old flames.
