text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,"The Tucks mempunyai rahsia, mereka 'abadi.mereka","The tucks have a secret, they are 'eternal.They"
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,Ini mungkin satu -satunya peluang untuk memulakan kehidupan baru dan mencipta semula keluarga yang dia tragis hilang ketika kanak -kanak.,This is probably the only opportunity to start a new life and recreate a family that he is tragic about during children.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,"Buku itu menceritakan tentang Murray, Scot Patriot lama, yang telah matanya telah hancur dan rumahnya diambil semasa pencerobohan Inggeris.","The book tells of Murray, the old Scot Patriot, whose eyes were broken and his house was taken during the English invasion."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,Semak otak anda dan cincin decoder ejen rahsia anda di pintu kerana anda tidak mahu terlalu banyak berfikir tentang apa yang sedang berlaku.Filem ini mempunyai beberapa nilai hiburan - berapa banyak bergantung pada seberapa baik anda suka Chris Rock.,Check your brain and your secret agent decoder rings at the door because you don't want to think too much about what's going on. This movie has some entertainment value - how much depends on how well you like Chris Rock.
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,"Sememangnya, dia kembali kepada penganalisisnya DR.Ben Sobel (Crystal) untuk mendapatkan bantuan dan mendapati bahawa Sobel memerlukan bantuan yang serius sendiri kerana dia telah mewarisi amalan keluarga, serta stok tekanan yang berlebihan.","Of course, he returned to his analyst Dr.Ben Sobel (Crystal) for help and found that Sobel needed his own serious help as he had inherited family practice, as well as excessive stock of stress."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,"Masih menderita mabuknya, Julie tidak menyedari bahawa Ellen hilang ketika bas sekolah meninggalkan tanah perkuburan.","Still suffering from her drunkenness, Julie was unaware that Ellen was missing when the school bus left the cemetery."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,Beberapa orang mendengar nasib Keith di radio dan membuat perubahan sendiri.,Some people heard Keith's fate on the radio and made their own changes.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,Tindakan aksi yang indah mengenai cinta dan keganasan di Korea.,Beautiful action of love and violence in Korea.
presents a most persuasive vision of hell on earth .,1,subjective,membentangkan visi neraka yang paling persuasi di bumi.,Present the most persuasive vision of hell on earth.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,"Filem yang tajam, seringkali rasa humor yang nakal akan menangkap beberapa orang...","A sharp movie, often a nasty humor will catch some people ..."
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,menguburkan jalan cerita yang menarik tentang moral dan pilihan yang kita buat di bawah gunung clichm-is dan imej yang dipinjam bahawa ia mungkin lebih tepat bertajuk MR.cip dari blok lama.,Burying an interesting storyline about the morals and choices we make under the Clichm-Is Mountain and the borrowed image that it may be more precisely titled Mr.CIP from the old block.
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,"Seperti filem pertama yang sangat berjaya, sekuel ini memberikan yang menyenangkan, menarik jika hiburan boleh guna untuk penonton umum.","Like the first successful movie, this sequel gives it a pleasant, interesting if entertainment can be used for public viewers."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,Kisah keluarga yang manis dan menarik tentang sifat iman dan kuasa tidak bersalah muda.,A sweet and interesting family story of the nature of faith and the power of the young.
"real escape , however , may be a goal beyond possibility .",0,objective,"Walau bagaimanapun, pelarian sebenar mungkin menjadi matlamat yang tidak mungkin.","However, real refugees may be an impossible goal."
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,Para pembuat filem dengan mahir membangkitkan rasa ancaman yang Alam memegang banyak penghuni bandar.,Film makers are skilled in raising a sense of threats that are holding many city residents.
"unfortunately , he neglects to mention that he is a professional gambler with bad instincts and that the jaguar is borrowed .",0,objective,"Malangnya, dia mengabaikan bahawa dia adalah penjudi profesional dengan naluri yang tidak baik dan bahawa Jaguar dipinjam.","Unfortunately, he ignored that he was a professional gambler with a bad instinct and that Jaguar was borrowed."
"in this racially-charged climate , the lapd 's elite special investigations squad ( sis ) is assigned a high-profile quadruple homicide .",0,objective,"Dalam iklim yang dikenakan perkauman ini, Skuad Penyiasatan Khas Elite LAPD (SIS) diberikan pembunuhan beramai-ramai yang berprofil tinggi.","In this racist climate, the Elite LAPD (SIS) special investigation squad was given high-profile massacre."
a remarkable 179-minute meditation on the nature of revolution .,1,subjective,Meditasi 179 minit yang luar biasa mengenai sifat revolusi.,The incredible 179 minute meditation on the nature of the revolution.
"this documentary follows a business partnership between a clan of palestinian fisherman from refugee camps in gaza and israelis from the settlement of dugit , gaza strip .",0,objective,"Dokumentari ini mengikuti perkongsian perniagaan antara klan nelayan Palestin dari kem pelarian di Gaza dan Israel dari penempatan Dugit, Gaza Strip.","The documentary follows business partnerships between Palestinian fishermen from refugee camps in Gaza and Israel from Dugit settlements, Gaza Strip."
"this painter 's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray .",0,objective,"Blok pelukis ini telah membawa kepada seorang lelaki terdesak yang terobsesi dengan keperluan untuk melukis, meninggalkan artis dalam keadaan kekacauan.","This painter's block has led to a desperate man who was obsessed with the need to draw, leaving the artist in a state of chaos."
all social structures break down and a new world order emerges from the heart of the desert .,0,objective,Semua struktur sosial memecah dan perintah dunia baru muncul dari tengah -tengah padang pasir.,All social structures break down and new world orders emerge from the middle of the desert.
"when blake is initiated , he agrees to abide by the three cardinal rules : share your spirit , body and soul with others ; devote your life to saving homeless kids ; and never leave unless the master casts you out .",0,objective,"Apabila Blake dimulakan, dia bersetuju untuk mematuhi tiga peraturan kardinal: kongsi semangat, badan dan jiwa anda dengan orang lain;menumpukan hidup anda untuk menyelamatkan anak -anak yang tiada tempat tinggal;Dan jangan sekali -kali meninggalkan kecuali tuan membuang anda.","When Blake begins, he agrees to adhere to three cardinal rules: share your spirit, body and soul with others; focus your life to save the homeless children; and never leave unless you throw you away."
". . . routine , harmless diversion and little else .",1,subjective,"...rutin, lencongan yang tidak berbahaya dan sedikit lagi.","... routine, harmless diversion and a little more."
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,1,subjective,Saya mengesyaki ini adalah jenis pengeluaran yang akan menjadi lebih lucu jika pengarah telah mengeluarkan outtakes secara teatrik dan menggunakan filem itu sebagai ciri bonus pada DVD.,I suspect this is a kind of production that would be funny if the director had issued a theatrical outtakes and used the film as a bonus feature on DVD.
desert rose is an erotic thriller that takes you through one man 's life experience .,0,objective,Desert Rose adalah thriller erotik yang membawa anda melalui pengalaman hidup seorang lelaki.,Desert Rose is an erotic thriller that brings you through the life experience of a man.
witt plays a young harvard graduate who also represents grant 's character .,0,objective,Witt memainkan seorang graduan Harvard muda yang juga mewakili watak Grant.,Witt played a young Harvard graduate who also represented Grant's character.
blade 's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations .,0,objective,Pasukan Blade dan Bloodpack adalah satu -satunya barisan pertahanan yang dapat menghalang penduduk Reaper daripada menghapuskan vampir dan populasi manusia.,The Blade and Bloodpack teams are the only defense line that can prevent the people of Reaper from eliminating vampires and human populations.
they intend to bring her back to tel-aviv in order to save her life .,0,objective,Mereka berhasrat untuk membawanya kembali ke Tel-Aviv untuk menyelamatkan nyawanya.,They intend to bring him back to Tel-Aviv to save his life.
"when her niece spontaneously dies of fright one week to the day she watched a disturbing video , a cynical journalist ( naomi watts ) travels to the pacific northwest in search of the tape 's origins and its links to a string of suicides at a horse ranch .",0,objective,"Ketika keponakannya secara spontan meninggal dunia satu minggu hingga hari dia menonton video yang mengganggu, seorang wartawan yang sinis (Naomi Watts) bergerak ke Northwest Pasifik untuk mencari asal -usul pita dan hubungannya dengan rentetan bunuh diri di ladang kuda.","As he spontaneously died one week until the day he watched a disturbing video, a cynical journalist (Naomi Watts) moved to Northwest Pacific to find the origin of the tape and his relationship with a suicide string on a horse farm."
"although a number of these laws have been overturned by legislatures or the courts , in the state of texas freedom fighters are still working to eliminate these absurd and unnecessary laws .",0,objective,"Walaupun beberapa undang -undang ini telah dibatalkan oleh badan perundangan atau mahkamah, di Negeri Texas Freedom Fighters masih berusaha untuk menghapuskan undang -undang yang tidak masuk akal dan tidak perlu ini.","Although some of these laws have been canceled by the legislature or court, in the state of Texas Freedom Fighters are still trying to abolish these unreasonable and unnecessary laws."
"unbeknownst to the contestants , the game 's host has struck a deal with the soldiers hired to guard the money , and does not really have the player 's best interests , or even basic safety , at heart .",0,objective,"Tanpa diketahui para peserta, tuan rumah permainan telah melanda perjanjian dengan tentera yang disewa untuk menjaga wang itu, dan tidak benar -benar mempunyai kepentingan terbaik pemain, atau bahkan keselamatan asas, di hati.","Without knowing the participants, the hosts have hit an agreement with the rented army to maintain the money, and it is not true -it has the best interests of the player, or even the basic security, in the heart."
"the first all-cgi short to be produced by imageworks , sony pictures award-winning character animation and visual effects company , `` the chubbchubbs `` introduces the alien inhabitants of the planet glorf including meeper , its earnest but awkward hero , the singing diva , the zyzaks and the chubbchubbs .",0,objective,"All-CGI yang pertama yang akan dihasilkan oleh ImageWorks, animasi animasi aksara dan syarikat kesan visual yang memenangi anugerah Sony Pictures, `` The Chubbchubbs `` memperkenalkan penduduk alien planet Glorf termasuk Meeper, wira yang sungguh-sungguh tetapi canggung, The Singing diva, Zyzaks dan Chubbchubbs.","The first All-CGI to be produced by Imageworks, the animated animation of characters and the Sony Pictures award-winning visuals, `` The Chubbchubbs `` Introducing the population of Alien Planet Glorf including Meeper, a very awkward but awkward hero, The Singing Diva,Zyzaks and Chubbchubbs."
"but when his feelings for the decidedly unavailable ricki begin to grow , and he actually becomes concerned for brian , tough guy gigli begins to transform into an actual human being . . . which",0,objective,"Tetapi apabila perasaannya terhadap Ricki yang tidak dapat dipertahankan mula berkembang, dan dia sebenarnya menjadi prihatin terhadap Brian, Guy Gigli yang sukar mula berubah menjadi manusia yang sebenarnya...yang","But when his feelings for Ricki were unbearable began to grow, and he was actually concerned about Brian, Guy Gigli who was hard to turn into a real human being ..."
tong is sent back to fetch some things for devlin and unknowingly tries on devlin 's tuxedo and finds that it gives extraordinary powers to anyone that dons the suit .,0,objective,Tong dihantar kembali untuk mengambil beberapa perkara untuk Devlin dan tanpa sadar cuba di Tuxedo Devlin dan mendapati bahawa ia memberikan kuasa yang luar biasa kepada sesiapa sahaja yang membuat saman itu.,The barrel was sent back to take some things for Devlin and unknowingly tried at Tuxedo Devlin and found that it gave it a great power to anyone who made the suit.
"fresh and raw like a blown-out vein , narc takes a walking-dead , cop-flick subgenre and beats new life into it .",1,subjective,"Segar dan mentah seperti urat yang ditiup, NARC mengambil subgenre yang mati, mati-mati dan mengalahkan kehidupan baru ke dalamnya.","Fresh and raw like blowing veins, the NARC takes a dead, dead subgenre and beating a new life into it."
its aims are modest -- to make kids laugh as cuba gooding falls down a lot and to show how thrilling sled dogs are -- and it achieves them .,1,subjective,Matlamatnya adalah sederhana - untuk membuat anak -anak ketawa ketika Cuba Gooding jatuh banyak dan menunjukkan betapa anjing luncur yang mendebarkan - dan ia mencapai mereka.,The goal is simple - to make kids laugh while trying gooding a lot and shows how thrilling dogs are - and they reach them.
"on the surface , the film is played straight , with sustained tension and effective frights . but the director has done his research , and fills every scene with a subversive humor that 's 100 % pure imitation hitchcock .",1,subjective,"Di permukaan, filem ini dimainkan lurus, dengan ketegangan yang berterusan dan ketakutan yang berkesan.Tetapi pengarah telah melakukan penyelidikannya, dan mengisi setiap adegan dengan humor subversif yang 100 % Imitation Pure Hitchcock.","On the surface, the film is played straight, with continuous tension and effective fear. But the director has done its research, and filled each scene with a 100 % imitation pure hitchcock."
. . . digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations .,1,subjective,...Menggali di luar gambaran biasa anak -anak yang baik dan biji -bijian yang buruk untuk mendedahkan satu set watak dan motivasi yang lebih ambivalen.,... dig outside the usual picture of good children and bad seeds to reveal a more ambivalent set of characters and motivations.
"if the count of monte cristo does n't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",1,subjective,"Sekiranya Count of Monte Cristo tidak mengubah Caviezel menjadi bintang filem, maka permainan itu lebih rigged daripada dua abad yang lalu.","If the Count of Monte Cristo does not turn Caviezel into a movie star, then the game is more rigged than the last two centuries."
an ideal love story for those intolerant of the more common saccharine genre .,1,subjective,Kisah cinta yang ideal untuk mereka yang tidak bertoleransi genre sakarin yang lebih biasa.,The ideal love story for those who are intolerant of the more common saccharine genre.
"outside of burger 's desire to make some kind of film , it 's really unclear why this project was undertaken",1,subjective,"Di luar keinginan Burger untuk membuat beberapa jenis filem, tidak jelas mengapa projek ini dilaksanakan","Outside the burger's desire to make some kind of film, it's unclear why this project is implemented"
"at the same time other changes in sumo are being prompted by its growing popularity in the west , where its adherents are lobbying for sumo 's inclusion in the olympic games even as other promoters are arranging amateur sumo tournaments in venues like las vegas casinos - tournaments that not surprisingly bear little resemblance to the sport 's japanese forebear .",0,objective,"Pada masa yang sama perubahan lain dalam Sumo sedang digerakkan oleh popularitinya yang semakin meningkat di Barat, di mana penganutnya melobi untuk kemasukan Sumo dalam Sukan Olimpik walaupun promotor lain mengatur kejohanan Sumo amatur di tempat -tempat seperti kasino Las Vegas -Itu tidak menghairankan sedikit persamaan dengan wanita Jepun sukan.","At the same time other changes in the sumo are being mobilized by its growing popularity in the West, where its followers lobby for sumo entry in the Olympics despite other promotors organize amateur sumo tournaments in places like Las Vegas casinosJapanese Women Sports."
14-year-old meredith attempts to maintain a religious vow of silence during a thanksgiving dinner with her agnostic family .,0,objective,Meredith yang berusia 14 tahun cuba mengekalkan sumpah agama berdiam diri semasa makan malam Thanksgiving dengan keluarga agnostiknya.,The 14 -year -old Meredith tried to maintain a religious oath of silence during a thanksgiving dinner with his agnostic family.
"docu-drama based on the life of ted bundy , a serial killer who killed at least 19 young women during the 1970 's ( though some sources say as many as 30 to 35 were murdered ) .",0,objective,"Docu-drama berdasarkan kehidupan Ted Bundy, seorang pembunuh bersiri yang membunuh sekurang-kurangnya 19 wanita muda semasa tahun 1970-an (walaupun beberapa sumber mengatakan sebanyak 30 hingga 35 dibunuh).","Docu-Drama is based on the life of Ted Bundy, a serial killer who killed at least 19 young women in the 1970s (though some sources say 30 to 35 were killed)."
"i wish windtalkers had had more faith in the dramatic potential of this true story . this would have been better than the fiction it has concocted , and there still could have been room for the war scenes .",1,subjective,"Saya berharap Windtalkers mempunyai lebih banyak kepercayaan terhadap potensi dramatik cerita sebenar ini.Ini akan lebih baik daripada fiksyen yang telah dicipta, dan masih ada ruang untuk adegan perang.","I hope Windtalkers have more trust in the dramatic potential of this true story. This will be better than the fiction that has been created, and there is still room for war scenes."
"in a world where loyalties are easily abandoned and allegiances bought , six perfect strangers come together to pull off the perfect crime .",0,objective,"Di dunia di mana kesetiaan mudah ditinggalkan dan kesetiaan dibeli, enam orang asing yang sempurna datang bersama -sama untuk menarik jenayah yang sempurna.","In a world where loyalty is easy to leave and loyalty is purchased, six perfect foreigners come together to attract the perfect crime."
"fast-paced and wonderfully edited , the film is extremely thorough .",1,subjective,"Cepat dan hebat diedit, filem ini sangat teliti.","Fast and great edited, the movie is very careful."
"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .",1,subjective,"Walaupun kadarnya yang berhati -hati dan cerita yang kelihatannya tidak dapat memenuhi selera makan setiap filem, adegan terakhir filem itu sangat melampau, secara telus bergerak.","Despite its heart -hearted rates and stories that do not seem to be able to meet the appetite of each movie, the last scene of the film is extreme, transparent."
"one-sided documentary offers simplistic explanations to a very complex situation . . . . stylistically , the movie is a disaster .",1,subjective,"Dokumentari satu sisi menawarkan penjelasan yang mudah kepada situasi yang sangat kompleks....Secara gaya, filem itu adalah bencana.","One -sided documentary offers a simple explanation to a very complex situation .... in style, the movie is a disaster."
food for love endeavors and largely succeeds in lending equal weight to the emotional turmoil of its older and younger characters .,1,subjective,Makanan untuk usaha cinta dan sebahagian besarnya berjaya meminjamkan berat badan yang sama dengan kegawatan emosi watak -wataknya yang lebih tua dan muda.,Food for love and largely managed to lend the same weight as the emotional turmoil of its older and younger character.
"should n't have been allowed to use the word `` new `` in its title , because there 's not an original character , siuation or joke in the entire movie .",1,subjective,"Sekiranya tidak dibenarkan untuk menggunakan perkataan `` baru `` dalam tajuknya, kerana tidak ada watak asal, penyiaran atau jenaka di seluruh filem.","If it is not allowed to use the word `` new `` in the title, as there is no original character, broadcast or joke throughout the movie."
"they both get close to tun , a lonely youth with an unspecified illness .",0,objective,"Kedua -duanya mendekatinya, seorang pemuda yang kesepian dengan penyakit yang tidak ditentukan.","Both approached him, a young man who was lonely with an unspecified illness."
"18-year old dean is handsome and bright , but feels hampered by his working-class background and by his family .",0,objective,"Dekan berusia 18 tahun adalah kacak dan cerah, tetapi terasa terhalang oleh latar belakang kelas pekerja dan oleh keluarganya.","The 18 -year -old Dean is handsome and bright, but it feels hindered by the workers' background and his family."
"the movie details the experiences of 'peter pan ' author j . m . barrie , which lead him to write the children 's classic .",0,objective,"Filem ini memperincikan pengalaman pengarang 'Peter Pan' j.m.Barrie, yang membawa dia menulis klasik kanak -kanak.","The movie details the experience of the author of the 'Peter Pan' J.M.Barrie, which brings him to the classic children."
"the movie occasionally threatens to become didactic , but it 's too grounded in the reality of its characters to go over the edge . a touch of humor or an unexpected plot twist always pulls it back .",1,subjective,"Filem ini kadang -kadang mengancam untuk menjadi didaktik, tetapi ia terlalu berasas dalam realiti watak -wataknya untuk pergi ke tepi.Sentuhan humor atau sentuhan plot yang tidak dijangka selalu menariknya kembali.","The movie is sometimes threatening to be a didactic, but it is too basic in the reality of the character to go to the edge."
"as a result of this unfortunate circumstance , ella can not refuse any command , and is often left at the mercy of unscrupulous personalities .",0,objective,"Hasil daripada keadaan malang ini, Ella tidak dapat menolak apa -apa perintah, dan sering ditinggalkan pada belas kasihan personaliti yang tidak bertanggungjawab.","As a result of this unfortunate situation, Ella was unable to reject any order, and was often abandoned at the mercy of irresponsible personalities."
rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories .,1,subjective,Beras terlalu pejalan kaki seorang pembuat filem untuk membawa apa -apa kelebihan atau keperibadian ke tempat yang semakin meningkat yang akan membezakannya dari cerita -cerita Selatan yang lain.,Rice is too pedestrian a filmmaker to bring any advantages or personalities to a growing place that will distinguish it from other Southern stories.
"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately .",1,subjective,"Filem ini akan berfungsi lebih baik sebagai pemasangan video di muzium, di mana penonton akan bebas untuk pergi.segera.","The movie will work better as a video installation at the museum, where viewers will be free to go."
"set in hounslow , west london and hamburg , the film follows two 18 year olds with their hearts set on a future in professional soccer .",0,objective,"Terletak di Hounslow, West London dan Hamburg, filem ini mengikuti dua kanak -kanak berusia 18 tahun dengan hati mereka ditetapkan pada masa depan dalam bola sepak profesional.","Located in Hounslow, West London and Hamburg, the film follows two 18 -year -olds with their hearts set in the future in professional football."
