text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,"Tucks mempunyai rahsia, mereka tidak mati.","Tucks have a secret, they do not die."
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,Ini mungkin adalah peluang Lizzy untuk memulai kehidupan baru dan mencipta semula keluarga yang dia kehilangan secara tragis semasa kanak-kanak.,This may be Lizzy's opportunity to start a new life and recreate the family she tragically lost as a child.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,"Buku itu menceritakan tentang Murray, patriot tua dari Scotland, yang telah kehilangan matanya dan rumahnya dirampas selama penjajahan Inggris.","The book tells the story of Murray, an old patriot from Scotland, who lost his eyesight and had his home taken during the English colonization."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,Sila tinggalkan otak anda dan cincin penggodam rahsia anda di pintu kerana anda tidak mahu terlalu banyak memikirkan apa yang sedang berlaku. Filem ini mempunyai nilai hiburan - sejauh mana bergantung pada sejauh mana anda suka Chris Rock.,Please leave your brain and secret hacking ring at the door because you don't want to overthink what is happening. This movie has entertainment value - to the extent that it depends on how much you like Chris Rock.
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,"Secara semulajadi, dia kembali kepada ahli psikologiannya Dr. Ben Sobel (Crystal) untuk mendapatkan bantuan dan mendapati bahawa Sobel sendiri memerlukan bantuan serius kerana beliau telah mewarisi amalan keluarga, di samping juga tekanan yang berlebihan.","Naturally, he returns to his psychologist Dr. Ben Sobel (Crystal) for help, only to find out that Sobel himself needs serious help as he has inherited family practices as well as excessive stress."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,"Masih menderita daripada pening kepala, Julie tidak sedar bahawa Ellen hilang ketika bas sekolah meninggalkan tanah perkuburan.","Still suffering from a headache, Julie was unaware that Ellen was missing when the school bus left the cemetery."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,Beberapa orang sedang mendengarkan kisah tragis Keith di radio dan membuat perubahan dalam hidup mereka sendiri.,Some people are listening to Keith's tragic story on the radio and making changes in their own lives.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,Filem aksi yang cantik tentang cinta dan keganasan di Korea.,A beautiful action film about love and violence in Korea.
presents a most persuasive vision of hell on earth .,1,subjective,Mengemukakan pandangan yang paling meyakinkan mengenai neraka di bumi.,Presenting the most convincing views on hell on earth.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,"Habalan tajam filem itu, sering kali cerdik, akan mengejutkan beberapa orang...","The sharp dialogue in that film, often clever, will surprise some people..."
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,Menguburkan alur cerita yang menarik tentang moraliti dan pilihan yang kita buat di bawah begitu banyak cliché dan imej-imej pinjam yang ia mungkin lebih tepat diberi judul Encik Chips Keturunan Lama.,"Burying an interesting storyline about morality and the choices we make under so many clichés and borrowed images, it might be more appropriately titled Mr. Chips The Old Descendant."
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,"Seperti filem pertama yang sangat berjaya, sekuel ini menyediakan hiburan yang menyenangkan, memikat walaupun kebanyakkannya bersifat sementara untuk penonton umum.","Like the highly successful first movie, this sequel provides entertaining and captivating fun, albeit mostly temporary for the general audience."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,Sebuah kisah keluarga yang manis dan menarik mengenai sifat keimanan dan kekuatan ketulusan remaja.,A sweet and intriguing family tale about the characteristics of faith and the strength of teenage sincerity.
"real escape , however , may be a goal beyond possibility .",0,objective,"Pelarian yang sebenar, bagaimanapun, mungkin menjadi satu matlamat yang melebihi kemungkinan.","Real escape, however, may be a goal beyond possibility."
