text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,塔克有一个秘密，他们是不朽的。他们,Tucker has a secret that they are immortal.them
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,这可能是Lizzy开始新生活并重现她小时候失去的家庭的唯一机会。,This may be the only opportunity for Lizzy to start a new life and reproduce her family when she was a child.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,这本书讲述了苏格特老爱国者穆雷（Murray），他的眼睛被撕开了，在英国入侵期间，他的房子被带走了。,"This book tells the old Pattipure Murray, who was torn apart, and his house was taken away during the British invasion."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,在门口检查您的大脑和秘密代理商解码器戒指，因为您不想过多考虑发生了什么。这部电影确实具有一定的娱乐价值 - 多少取决于您喜欢克里斯·洛克（Chris Rock）。,Check your brain and secret agent decoder ring at the door because you don't want to consider what happened.This movie does have a certain entertainment value -how much depends on your favorite Chris Rock.
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,自然，他返回分析师博士。本·索贝尔（Crystal）寻求帮助，并发现索贝尔继承了家庭练习以及过多的压力，他需要一些认真的帮助。,"Naturally, he returned to the analystist.Crystal sought help and found that Sobel inherited family exercises and excessive pressure. He needed some serious help."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,朱莉仍然遭受宿醉的困扰，并没有意识到，当校车离开墓地时，艾伦（Ellen）失踪了。,"Julie was still troubled by the hangover and did not realize that when the school bus left the cemetery, Ellen disappeared."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,有几个人在收音机上聆听基思的困境，并正在自行改变。,Several people listened to the dilemma of Keis on the radio and were changing themselves.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,一个关于韩国爱情和恐怖主义的精美动作惊悚片。,A beautiful action thriller about Korean love and terrorism.
presents a most persuasive vision of hell on earth .,1,subjective,提出了地狱上最有说服力的愿景。,The most convincing vision on hell has been proposed.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,这部电影的敏锐，经常调皮的幽默感会措手不及。。。,The keenness of this movie will be caught off guard by the naughty humor.EssenceEssence
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,埋葬了一个有趣的故事情节，关于道德以及我们在如此陈词滥调和借来的图像之下做出的选择，以便更准确地将其标题为MR。从旧的块上筹码。,"Buried an interesting storyline, about morality and the choice we made under the images we borrowed so much in order to more accurately title MR.Bringing chips from the old block."
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,像这部成功的第一部电影一样，续集为普通观众提供了令人愉悦，引人入胜的娱乐活动。,"Like this successful first movie, the sequel provides ordinary audiences with pleasant and fascinating entertainment activities."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,一个关于信仰本质和年轻无罪的能力的甜蜜，引人入胜的家庭故事。,"A family story about the essence of faith and young and innocent, fascinating."
"real escape , however , may be a goal beyond possibility .",0,objective,但是，真正的逃脱可能是一个无法实现的目标。,"However, the real escape may be an irreplaceable goal."
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,电影制片人巧妙地唤起了大自然对许多城市居民的威胁。,Movie producers cleverly aroused the threat of nature to many urban residents.
"unfortunately , he neglects to mention that he is a professional gambler with bad instincts and that the jaguar is borrowed .",0,objective,不幸的是，他忽略了他是一名本能不好的专业赌徒，而美洲虎则是借来的。,"Unfortunately, he ignored that he was an instinctual professional gambler, and the American tiger borrowed it."
"in this racially-charged climate , the lapd 's elite special investigations squad ( sis ) is assigned a high-profile quadruple homicide .",0,objective,在这种带有种族的气候中，LAPD的精英特殊调查小队（SIS）被分配了高调四倍的杀人罪。,"In this race climate, LAPD's elite special investigation team (SIS) was allocated four times the crime of high -profile homicide."
a remarkable 179-minute meditation on the nature of revolution .,1,subjective,关于革命性质的179分钟冥想。,179 -minute meditation about revolutionary nature.
