text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,"sebuah re-imagining yang menyentuh, lucu, dan pada akhirnya memikat tentang kecantikan dan binatang serta filem seram 1930-an","A touching, humorous, and ultimately captivating re-imagining about beauty, animals, and 1930s horror films."
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,Peningkatan semula dari lantai pemotongan mana-mana siri drama siang hari.,The revival of any daytime drama series from the cutting room floor.
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,"Mereka menganggap penonton mereka tidak akan duduk diam untuk pelajaran sosiologi, walaupun disampaikan dengan cara yang menghiburkan, jadi mereka menghadirkan unsur-unsur sains fiksyen konvensional seperti monster berbulu mata dan wanita masa depan berpakaian seksi.","They consider their audience will not sit still for sociology lessons, even when presented in an entertaining way, so they incorporate conventional science fiction elements like hairy-eyed monsters and futuristic women dressed sexily."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,"Ini merupakan satu renungan yang menakjubkan secara visual tentang cinta, ingatan, sejarah, dan perang antara seni dan dagang.","This is a visually stunning reflection on love, memory, history, and the battle between art and commerce."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,Bartleby Jonathan Parker sepatutnya menjadi inti dari filem anomie pejabat moden yang paling utama.,Bartleby Jonathan Parker should be at the core of the most important modern office anomie film.
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,Campanella mendapat nada yang tepat - lucu di tengah sedih di tengah penuh harapan.,Campanella struck the right tone - amusing amidst sadness amidst filled with hope.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,Filem penggemar yang bagi orang yang tidak terbiasa lebih baik dilihat dengan bunyi dimatikan.,Fan films are best watched with the sound turned off for those who are not used to it.
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,"béart dan berling kedua-duanya hebat, manakala huppert... adalah magnifik.","The bear and the pearl are both great, while Huppert... is magnificent."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,"sedikit kurang ekstrim daripada sebelum ini, dengan urutan penerangan yang lebih panjang di antara mereka, dan dengan lebih sedikit gurauan untuk menghilangkan kebosanan.","slightly less extreme than before, with longer explanations between them, and with fewer jokes to ward off boredom."
the film is strictly routine .,0,negative,Filem ini adalah rutin semata-mata.,This movie is just routine.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,Sebuah metafora lirik untuk penemuan diri budaya dan peribadi serta pandangan picaresque sebuah dunia yang sedikit diingati.,A lyrical metaphor for the discovery of cultural and personal identity and a picaresque view of a somewhat forgotten world.
