text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,"Sambutan, lucu dan akhirnya mengangkut semula Beauty and the Beast dan 1930-an filem seram","Welcome, funny and finally transported Beauty and the Beast and 1930s horror movies"
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,Ternyata dipasang semula dari lantai bilik pemotongan sabun siang hari.,It turned out to be reinstalled from the floor of the day soap cutting room.
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,"Mereka menganggap penonton mereka tidak duduk untuk pelajaran sosiologi, namun dengan menghiburkan, jadi mereka melancarkan unsur-unsur sains fiksyen konvensional dari raksasa bermata dan wanita futuristik dalam pakaian yang tidak sopan.","They think their audience is not sitting for sociological lessons, but by entertaining, so they launch the conventional fictional elements of the giant and futuristic women in rude clothing."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,"Ini adalah rumusan visual yang menakjubkan mengenai cinta, ingatan, sejarah dan perang antara seni dan perdagangan.","This is an amazing visual formulation of love, memory, history and war between art and trade."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,Bartleby Jonathan Parker sepatutnya menjadi filem Anomie yang moden.,Bartleby Jonathan Parker should be a modern anomie movie.
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,Campanella mendapat nada yang betul - lucu di tengah -tengah sedih di tengah -tengah harapan.,Campanella gets the right tone -funny in the middle of the mid -mid -hope.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,Filem peminat yang untuk dimainkan lebih baik pada video dengan bunyi yang ditolak.,Fans movies to play better on videos with rejected sounds.
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,"Béart dan Berling adalah kedua -duanya hebat, sementara Huppert ... adalah luar biasa.","Béart and Berling are both great, while huppert ... is amazing."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,"Sedikit kurang melampau dari masa lalu, dengan urutan eksposisi yang lebih panjang di antara mereka, dan dengan gags yang lebih sedikit untuk memecahkan tedium.","A little less extreme than the past, with a longer exposition sequence between them, and with fewer gags to break the tedium."
the film is strictly routine .,0,negative,Filem ini sangat rutin.,This movie is very routine.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,Metafora lirik untuk penemuan diri budaya dan peribadi dan pandangan picaresque dari dunia yang diingati.,Lyric metaphors for cultural and personal discoveries and Picaresque views of the world are remembered.
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,negative,Penyesuaian yang paling menjijikkan dari teks klasik sejak Roland Joffé dan Demi Moore dari The Scarlet Letter.,The most disgusting customization of the classic text since Roland Joffé and Demi Moore from The Scarlet Letter.
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,"Untuk sesuatu yang indah seperti filem ini, penonton menjangkakan sesuatu yang istimewa tetapi sebaliknya mendapat -lrb-sci-fi -rrb- rehash.","For something beautiful like this movie, the audience expects something special but instead gets -LRB-SCI-Fi -RRB- Rehash."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,"Ini adalah filem yang menakjubkan, sebuah pasukan pelancongan yang satu-of-a-kind.","This is an amazing movie, a one-of-a-kind tourist team."
"may be more genial than ingenious , but it gets the job done .",1,positive,"Mungkin lebih baik daripada cerdik, tetapi ia mendapat pekerjaan yang dilakukan.","It may be better than smart, but it gets a job done."
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,positive,"Terdapat kebebasan untuk menonton aksi yang mentah ini, ini pantas dan gila ini.","There is a freedom to watch this raw act, this is fast and crazy."
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0,negative,"Jika tuxedo sebenarnya adalah saman, ia akan sesuai dengan Chan seperti $ 99 murah-basement istimewa.","If the tuxedo is actually a suit, it will fit the chan like $ 99 cheap-basement."
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1,positive,"Seperti yang tenang, pesakit dan tenacious sebagai MR.Lopez sendiri, yang mendekati kerja yang sukar dan tidak berkesudahan dengan ketenangan dan disiplin yang luar biasa.","Like quiet, the patient and tenacious as Mr.Lopez himself, who approached difficult and endless work with incredible peace and discipline."
final verdict : you 've seen it all before .,0,negative,Keputusan Akhir: Anda telah melihatnya sebelum ini.,Final results: You've seen it before.
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",0,negative,"Blue Crush mengikuti formula, tetapi melemparkan terlalu banyak konflik untuk mengekalkan cerita yang menarik.","Blue Crush follows the formula, but throwing too many conflicts to maintain an interesting story."
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,0,negative,Anda ... mendapatkan rasa niat baik yang tergelincir oleh kegagalan untuk mencari dan menyerang hanya nada yang betul.,You ... get a good taste of slipping by failure to find and attack only the right tone.
"a slick , engrossing melodrama .",1,positive,"Melodrama yang licin, mengasyikkan.","Smooth melodrama, fun."
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,negative,Filem yang celaka yang mengurangkan Perang Dunia Kedua untuk usaha seorang lelaki untuk mencari api lama.,A wretched movie that reduced the Second World War for a man's quest to find an old fire.
"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .",0,negative,"pasti akan bermain dengan baik di pasaran Eropah, di mana Encik.Besson adalah jenama, dan di Asia, di mana MS.Shu adalah sebuah institusi, tetapi penonton Amerika mungkin akan mendapati ia biasa dan tidak cukup cathartic.","It will definitely play well in the European market, where Mr.Besson is a brand, and in Asia, where Ms.Shu is an institution, but American viewers may find it normal and not cathartic enough."
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,0,negative,Tidak mempunyai inspirasi asal dan mempunyai plot kembung yang membentangkan masa berjalan kira -kira 10 minit melewati minat kanak -kanak dan kesabaran orang dewasa.,There is no original inspiration and has an inflatable plot that presents a 10 -minute walk through the interests of children and adult patience.
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,1,positive,Klausa Santa 2 membuktikan dirinya sebagai pertemuan yang lebih diperkemas dan difikirkan daripada asal yang pernah diharapkan.,The Santa 2 clause proves itself as a more refined and thoughtful meeting from the original.
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",1,positive,"Filem ini adalah muram, meleleh, menyejukkan dan menghangatkan hati sekaligus ... thriller yang berpusing, tidak dapat diramalkan, kucing dan tikus.","The movie is gloomy, melting, cooling and warming up at once ... Thriller turns, unpredictable, cats and mice."
too bad .,0,negative,terlalu teruk.,Too bad.
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",1,positive,"Tindakan pertama yang kuat dan benar-benar, tidak dapat dielakkan, gerakan pencakar langit-trapeze dari Spider-Man Amazing.","The first and very strong, inevitable, inevitable, the sky-trapeze movement of the Spider-Man Amazing."
gooding offers a desperately ingratiating performance .,0,negative,Gooding menawarkan prestasi yang sangat menonjol.,Gooding offers a very prominent performance.
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,0,negative,Usaha yang berniat baik yang masih dibebani oleh kepekaan offbeat pelakon untuk teras emosi yang sungguh-sungguh untuk muncul dengan sebarang tahap aksesibiliti.,Good efforts that are still burdened by the actor's offbeat sensitivity to the strong emotional core to emerge with any level of accessibility.
a fun ride .,1,positive,perjalanan yang menyeronokkan.,A fun trip.
